Epoch,EpochDuration(s),AvgTrainingLoss,ValidationLoss,Accuracy,Precision,Recall,F1Score,LearningRate,Executor,TotalMemory(MB),FreeMemory(MB),Partitions
1,71.472,0.12457120167426218,0.12435722141176281,0.05856158116269139,0.02,0.019522114895780377,0.03688406493132263,0.01,10.0.0.79:51920,2172,2170,3
2,40.744,0.1245721339848652,0.1243552345640912,0.05856158116269139,0.02,0.019522114895780377,0.03688406493132263,0.01,10.0.0.79:51920,2172,2170,3
3,37.768,0.1245742561077957,0.12435333323935865,0.05856158116269139,0.02,0.014642777246751134,0.027665174540354654,0.01,10.0.0.79:51920,2172,2170,3
4,37.543,0.12458145172782985,0.12436588305737037,0.05856158116269139,0.02,0.014641586171835282,0.027663048698491975,0.01,10.0.0.79:51920,2172,2170,3
5,38.066,0.12457452652450592,0.12435875720070629,0.05856158116269139,0.02,0.01952370299566818,0.036886899387139536,0.01,10.0.0.79:51920,2172,2170,3
